F      = 49.50717544555664
    Ua     = 8.660133361816406
    Ub     = 8.654677391052246
    Uc     = 8.659292221069336
  AngUab   = -120.001708984375
  AngUbc   = -120.00043487548828
  AngUca   = -119.99787139892578
    Ia     = 5.0014424324035645
    Ib     = 5.000336647033691
    Ic     = 5.00155782699585
  AngIab   = -119.97966766357422
  AngIbc   = -120.0072250366211
  AngIca   = -120.01312255859375
   PFa     = 0.9999997615814209
   PFb     = 0.9999995231628418
   PFc     = 0.999999463558197
    U1     = 0.0018072847742587328
    U2     = 8.657144546508789
    U0     = 0.008450564928352833
    I1     = 0.0009789200266823173
    I2     = 5.000988960266113
    I0     = 0.0007504511740989983
    Pa     = 43.31313705444336
    Pb     = 43.276248931884766
    Pc     = 43.30989074707031
    Qa     = 0.0
    Qb     = 0.0
    Qc     = 0.0
    Sa     = 43.313148498535156
    Sb     = 43.276268005371094
    Sc     = 43.309913635253906
    P      = 129.89927673339844
    Q      = 0.0
    S      = 129.89932250976562
